# =============================================================================
# Data File: Slab Polarization Arrow Data at t=0.25s
# Paper: "Electrostrictive Metamaterial Study: Shaping Fields to Exceed Intrinsic Material Limits"
# =============================================================================
# Model: Slab.mph
# Software: COMSOL Multiphysics COMSOL 6.2.0.339
# Date Generated: Oct 16 2025, 09:25
# Table: 
# =============================================================================
# Description: Polarization vector field data for arrow plot visualization at t=0.25s.
# =============================================================================
# Columns: x                       y                        es.PX                    es.PY
# =============================================================================
-1.3500000000000003       -1.3500000000000003      -3.347898904600687E-5    -0.019990751010167864
-1.0500000000000003       -1.3500000000000003      -3.310479967808756E-5    -0.01995976057406488
-0.7500000000000002       -1.3500000000000003      -2.3007190653883192E-5   -0.019949665420731583
-0.4500000000000002       -1.3500000000000003      -1.3416775978876226E-5   -0.019945656009214753
-0.15000000000000016      -1.3500000000000003      -4.400270289476958E-6    -0.019944115929072297
0.15000000000000016       -1.3500000000000003      4.400270289479271E-6     -0.019944115929072286
0.45                      -1.3500000000000003      1.3416775978880078E-5    -0.019945656009214753
0.7500000000000002        -1.3500000000000003      2.3007190653875844E-5    -0.019949665420731583
1.05                      -1.3500000000000003      3.310479967808096E-5     -0.019959760574064872
1.3500000000000003        -1.3500000000000003      3.3478989046009704E-5    -0.019990751010167875
-1.3500000000000003       -1.0500000000000003      -1.067605478439939E-5    -0.019963629294325165
-1.0500000000000003       -1.0500000000000003      -1.7875818044708085E-5   -0.019963360688004958
-0.7500000000000002       -1.0500000000000003      -1.5685096844196873E-5   -0.01995736846349128
-0.4500000000000002       -1.0500000000000003      -9.895202277022678E-6    -0.01995363044912646
-0.15000000000000016      -1.0500000000000003      -3.3377718811219986E-6   -0.019951962194236797
0.15000000000000016       -1.0500000000000003      3.337771881120389E-6     -0.019951962194236783
0.45                      -1.0500000000000003      9.895202277022988E-6     -0.01995363044912646
0.7500000000000002        -1.0500000000000003      1.5685096844194424E-5    -0.019957368463491276
1.05                      -1.0500000000000003      1.787581804470727E-5     -0.01996336068800495
1.3500000000000003        -1.0500000000000003      1.0676054784401148E-5    -0.01996362929432517
-1.3500000000000003       -0.7500000000000002      -2.0947684113388027E-6   -0.019953737789961925
-1.0500000000000003       -0.7500000000000002      -7.117020391635602E-6    -0.019960520400432877
-0.7500000000000002       -0.7500000000000002      -7.993833214417038E-6    -0.019960050060230133
-0.4500000000000002       -0.7500000000000002      -5.690053053580913E-6    -0.01995834599617842
-0.15000000000000016      -0.7500000000000002      -2.0270798402342493E-6   -0.019957297921297128
0.15000000000000016       -0.7500000000000002      2.0270798402250717E-6    -0.019957297921297117
0.45                      -0.7500000000000002      5.690053053590709E-6     -0.019958345996178423
0.7500000000000002        -0.7500000000000002      7.993833214425498E-6     -0.019960050060230123
1.05                      -0.7500000000000002      7.117020391632083E-6     -0.019960520400432877
1.3500000000000003        -0.7500000000000002      2.094768411324086E-6     -0.0199537377899619
-1.3500000000000003       -0.4500000000000002      -1.7572745527975312E-8   -0.01995137424410662
-1.0500000000000003       -0.4500000000000002      -1.449437477207549E-6    -0.019957937777870437
-0.7500000000000002       -0.4500000000000002      -2.6582574448808616E-6   -0.019960187770995595
-0.4500000000000002       -0.4500000000000002      -2.3287239557631987E-6   -0.01996034753002994
-0.15000000000000016      -0.4500000000000002      -8.967657549918116E-7    -0.019960105449300554
0.15000000000000016       -0.4500000000000002      8.967657549834404E-7     -0.019960105449300557
0.45                      -0.4500000000000002      2.3287239557680116E-6    -0.01996034753002996
0.7500000000000002        -0.4500000000000002      2.6582574448934154E-6    -0.019960187770995574
1.05                      -0.4500000000000002      1.449437477205935E-6     -0.01995793777787044
1.3500000000000003        -0.4500000000000002      1.7572745533429768E-8    -0.01995137424410661
-1.3500000000000003       -0.15000000000000016     7.814748108649572E-7     -0.019951823383651198
-1.0500000000000003       -0.15000000000000016     8.741427041055071E-7     -0.019956818169349192
-0.7500000000000002       -0.15000000000000016     1.8130695858297382E-7    -0.019959580786297317
-0.4500000000000002       -0.15000000000000016     -2.242158300321729E-7    -0.019960704838243498
-0.15000000000000016      -0.15000000000000016     -1.4073834590888965E-7   -0.019961025923624594
0.15000000000000016       -0.15000000000000016     1.4073834591968236E-7    -0.019961025923624573
0.45                      -0.15000000000000016     2.2421583002380403E-7    -0.019960704838243533
0.7500000000000002        -0.15000000000000016     -1.8130695857553337E-7   -0.01995958078629731
1.05                      -0.15000000000000016     -8.741427040843376E-7    -0.01995681816934916
1.3500000000000003        -0.15000000000000016     -7.814748108594719E-7    -0.0199518233836512
-1.3500000000000003       0.15000000000000016      9.565033366701933E-7     -0.019953235450345604
-1.0500000000000003       0.15000000000000016      1.7058416271649819E-6    -0.019956606233056375
-0.7500000000000002       0.15000000000000016      1.4091184770410635E-6    -0.0199589819308153
-0.4500000000000002       0.15000000000000016      8.198489505654915E-7     -0.01996029513940022
-0.15000000000000016      0.15000000000000016      2.5841940796030076E-7    -0.019960834520510184
0.15000000000000016       0.15000000000000016      -2.584194079538219E-7    -0.01996083452051016
0.45                      0.15000000000000016      -8.198489505588178E-7    -0.01996029513940024
0.7500000000000002        0.15000000000000016      -1.4091184770545733E-6   -0.019958981930815294
1.05                      0.15000000000000016      -1.705841627168933E-6    -0.019956606233056375
1.3500000000000003        0.15000000000000016      -9.565033366624195E-7    -0.019953235450345597
-1.3500000000000003       0.45                     8.994671219873176E-7     -0.019954836630439923
-1.0500000000000003       0.45                     1.805770691428803E-6     -0.019956834105561518
-0.7500000000000002       0.45                     1.749076891950899E-6     -0.01995852769167909
-0.4500000000000002       0.45                     1.184050761386492E-6     -0.01995962307283903
-0.15000000000000016      0.45                     4.117223887433358E-7     -0.01996013185978389
0.15000000000000016       0.45                     -4.1172238875254294E-7   -0.019960131859783875
0.45                      0.45                     -1.1840507614078072E-6   -0.019959623072839022
0.7500000000000002        0.45                     -1.7490768919662232E-6   -0.019958527691679107
