# =============================================================================
# Data File: Design D2 Bayesian Optimization Convergence
# Paper: "Electrostrictive Metamaterial Study: Shaping Fields to Exceed Intrinsic Material Limits"
# =============================================================================
# Model: Design2.mph
# Software: COMSOL Multiphysics COMSOL 6.2.0.339
# Date Generated: Oct 30 2025, 18:42
# Table: Objective Probe Table 5 -
# =============================================================================
# Description: Optimization iterations for D2 showing parameter values and objective function. Units: lengths (m), angles (rad).
# =============================================================================
# Columns: r2 (m)                                          t0 (m)                                            theta1 (rad)                                      theta2 (rad)                                      theta4 (rad)                                      theta5 (rad)                                      Objective                                         Domain Probe 1 (avg disp)                         Domain Probe 2 (max disp)                         Domain Probe 3 (avg elec strain)
# =============================================================================
2.534375E-5                                       1.4312500000000002E-4                             0.35270195300718743                               1.2326387842209952                                1.4035356068121063                                1.5631605113174214                                4.722037348209182E-5                              9.3548732825181E-8                                2.0612793762040323E-7                             4.692069681164624E-5
2.52578125E-5                                     1.42890625E-4                                     0.35179292735510703                               1.2271846303085128                                1.4017175555079455                                1.5650694651867902                                4.714817086247453E-5                              9.381844286420178E-8                              2.0655773258174649E-7                             4.6847794687028565E-5
2.5E-5                                            1.4359375E-4                                      0.3490658503988659                                1.2217304763960306                                1.4071717094204281                                1.5707963267948966                                4.716028625774506E-5                              9.392533120344647E-8                              2.068360423578469E-7                              4.685952488418377E-5
2.5515625E-5                                      1.4359375E-4                                      0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.714852283649295E-5                              9.399473172874112E-8                              2.0667295246826461E-7                             4.684785515229595E-5
2.5E-5                                            1.4359375E-4                                      0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5593426035786837                                4.7146237119337734E-5                             9.395113562279231E-8                              2.0672576232580432E-7                             4.684556022138913E-5
2.5E-5                                            1.4359375E-4                                      0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.713214286066464E-5                              9.390135650969815E-8                              2.0667729180747626E-7                             4.683156421234746E-5
2.5E-5                                            1.4359375E-4                                      0.35452000431134817                               1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.71105650671588E-5                               9.398557701302883E-8                              2.0658760367142733E-7                             4.680999188647431E-5
2.5E-5                                            1.4359375E-4                                      0.3490658503988659                                1.2162763224835484                                1.3962634015954636                                1.5707963267948966                                4.7084066566595726E-5                             9.421553377363118E-8                              2.070533577180185E-7                              4.678279767510408E-5
2.5171875000000004E-5                             1.440625E-4                                       0.35088390170302663                               1.2271846303085128                                1.399899504203785                                 1.5669784190561586                                4.722792912814384E-5                              9.365620026063537E-8                              2.0639738949635432E-7                             4.692787553838687E-5
2.512890625E-5                                    1.439453125E-4                                    0.3504293888769865                                1.2244575533522717                                1.3989904785517047                                1.567932895990843                                 4.719090810210059E-5                              9.38182698729753E-8                               2.064675455575219E-7                              4.6890622286670076E-5
2.5E-5                                            1.44296875E-4                                     0.3490658503988659                                1.2217304763960306                                1.401717555507946                                 1.5707963267948966                                4.719683159894558E-5                              9.38947982194465E-8                               2.066643028671322E-7                              4.6896272497859014E-5
2.52578125E-5                                     1.44296875E-4                                     0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.719106300354839E-5                              9.392721463203098E-8                              2.0658465638631803E-7                             4.6890551132530055E-5
2.5E-5                                            1.44296875E-4                                     0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5650694651867902                                4.7190911065008016E-5                             9.386113856138234E-8                              2.0655598198419204E-7                             4.689049394446244E-5
2.5E-5                                            1.44296875E-4                                     0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.7183376153503025E-5                             9.393077904606168E-8                              2.0660261691896518E-7                             4.6882842757537986E-5
2.5E-5                                            1.44296875E-4                                     0.35179292735510703                               1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.717269423792044E-5                              9.396647610428139E-8                              2.065936815593055E-7                              4.687213408025685E-5
2.5E-5                                            1.44296875E-4                                     0.3490658503988659                                1.2190033994397895                                1.3962634015954636                                1.5707963267948966                                4.71589738920508E-5                               9.404432492226254E-8                              2.067709935815929E-7                              4.685815857354695E-5
2.5E-5                                            1.45E-4                                           0.3490658503988659                                1.2217304763960306                                1.3962634015954636                                1.5707963267948966                                4.7234037303339205E-5                             9.379907873178809E-8                              2.064949586222055E-7                              4.69337432659852E-5
