# =============================================================================
# Data File: Design D1 Bayesian Optimization Convergence
# Paper: "Electrostrictive Metamaterial Study: Shaping Fields to Exceed Intrinsic Material Limits"
# =============================================================================
# Model: Design1.mph
# Software: COMSOL Multiphysics COMSOL 6.2.0.339
# Date Generated: Oct 30 2025, 18:50
# Table: Objective Probe Table 5 -
# =============================================================================
# Description: Optimization iterations for D1 showing parameter values (t0, theta4, theta5, r2) and objective function. Units: lengths (m), angles (rad).
# =============================================================================
# Columns: t0 (m)                 theta4 (rad)             theta5 (rad)             r2 (m)                   Objective
# =============================================================================
1.0649291992187508E-4    1.3137693236691692       1.197208089078581        2.4528686523437497E-5    1.8680517636748817E-7
1.0609741210937507E-4    1.311042246712928        1.200429448733141        2.50926513671875E-5      1.8657669384737773E-7
1.0557006835937505E-4    1.3219505545378925       1.1989977333311144       2.4899291992187495E-5    1.8654461811014083E-7
1.0627319335937506E-4    1.3219505545378925       1.2047245949392207       2.4899291992187495E-5    1.8658939375313675E-7
1.0745422363281258E-4    1.3052472081809154       1.1979686878859077       2.4744201660156244E-5    1.8679813621379444E-7
1.069831848144532E-4     1.3094230447701598       1.1982259492472096       2.478297424316406E-5     1.865625729601623E-7
1.0683898925781257E-4    1.3107013620933978       1.1943893993808412       2.4647521972656246E-5    1.86764199804596E-7
1.0672912597656257E-4    1.3147919775277594       1.198147652311161        2.4832824707031245E-5    1.8664066072699456E-7
1.0664123535156256E-4    1.3093378236152773       1.1960000792081211       2.4929504394531247E-5    1.8659163461458263E-7
1.0637756347656256E-4    1.3147919775277594       1.195284221507108        2.4832824707031245E-5    1.8669514305007736E-7
1.0718505859375006E-4    1.3076334005176264       1.1915707096831014       2.4766357421874995E-5    1.8682365433473045E-7
